File Path/Name,File Size,Reason
connecting_rds_to_s3.sql,266.0 B,Encoding (BOM not found)
create_final_schema.sql,81.0 B,Encoding (BOM not found)
Create_Football_db.sql,30.0 B,Encoding (BOM not found)
create_intermediate_schema.sql,145.0 B,Encoding (BOM not found)
create_raw_schema.sql,25.0 B,Encoding (BOM not found)
demo.sql,468.0 B,Encoding (BOM not found)
final_schema_player_market_value_growth_rate.sql,1.0 KB,Encoding (BOM not found)
final_schema_vw_highest_transfer_per_season.sql,511.0 B,Encoding (BOM not found)
final_schema_vw_injury_burden_per_team_per_season.sql,1.5 KB,Encoding (BOM not found)
final_schema_vw_injury_type_trends.sql,318.0 B,Encoding (BOM not found)
final_schema_vw_top_assists_per_season.sql,0.7 KB,Encoding (BOM not found)
final_schema_vw_top_goalers_per_season_per_competition.sql,0.7 KB,Encoding (BOM not found)
int_player_market_value.sql,0.7 KB,Encoding (BOM not found)
int_schema_children_team.sql,0.7 KB,Encoding (BOM not found)
int_schema_int_player_injuries.sql,1.9 KB,Encoding (BOM not found)
int_schema_int_player_teammates_played_with.sql,1.9 KB,Encoding (BOM not found)
int_schema_int_transfer_history.sql,1.0 KB,Encoding (BOM not found)
int_schema_player_national_performance.sql,3.3 KB,Encoding (BOM not found)
int_schema_player_performances.sql,2.0 KB,Encoding (BOM not found)
int_schema_player_profile.sql,3.4 KB,Encoding (BOM not found)
int_schema_team_competition_seasons.sql,1.3 KB,Encoding (BOM not found)
raw_schema_children_team.sql,0.6 KB,Encoding (BOM not found)
raw_schema_player_injuries.sql,0.5 KB,Encoding (BOM not found)
raw_schema_player_market_value.sql,0.5 KB,Encoding (BOM not found)
raw_schema_player_national_performance.sql,0.6 KB,Encoding (BOM not found)
raw_schema_player_performance.sql,0.8 KB,Encoding (BOM not found)
raw_schema_player_profile.sql,1.1 KB,Encoding (BOM not found)
raw_schema_player_teammates_played_with.sql,0.9 KB,Encoding (BOM not found)
raw_schema_team_competitions_seasons.sql,0.6 KB,Encoding (BOM not found)
raw_schema_team_details.sql,0.6 KB,Encoding (BOM not found)
raw_schema_transfer_history.sql,0.6 KB,Encoding (BOM not found)
storage,56.0 KB,File Type
